Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
540,Chocolate en polvo LYNE Clásico (120 gr),120 gr,Chocolate,LYNE,https://www.exito.com/cocoa-dietaria-clasico-lyne-120-gr-3122832/p,https://www.exito.com/cocoa-dietaria-clasico-lyne-120-gr-3122832/p,3383737,1.807,7702007077841
541,Café MATIZ liofilizado (85 gr),85 gr,Café,MATIZ,https://www.exito.com/cafe-liofilizado-matiz-85-gr-3135217/p,https://www.exito.com/cafe-liofilizado-matiz-85-gr-3135217/p,3431209,2.593,7702032118397
542,Café AMOR PERFECTO (365 gr),365 gr,Café,AMOR PERFECTO,https://www.exito.com/cafe-de-origen-amor-perfecto-365-gramo-3004463/p,https://www.exito.com/cafe-de-origen-amor-perfecto-365-gramo-3004463/p,3006709,4.729,7709375032083
543,Café TOSTAO Soluble En Polvo (170 gr),170 gr,Café,TOSTAO,https://www.exito.com/cafe-en-polvo-instantaneo-tostao-170-gr-3072656/p,https://www.exito.com/cafe-en-polvo-instantaneo-tostao-170-gr-3072656/p,3214903,2.651,7702439012670
544,Cápsulas de Café NESCAFE DOLCE GUSTO Espresso Intenso (128 gr),128 gr,Cápsulas,NESCAFE DOLCE GUSTO,https://www.exito.com/dolce-gusto-espresso-intenso-306661/p,https://www.exito.com/dolce-gusto-espresso-intenso-306661/p,478226,4.400,7613031526406
545,Cafe OMA TOSTADO MOLIDO EXCELSO TIPO (340 gr),340 gr,Cafe,OMA TOSTADO MOLIDO EXCELSO TIPO,https://www.exito.com/cafe-tostado-molido-excelso-tipo-oma-340-gr-3155048/p,https://www.exito.com/cafe-tostado-molido-excelso-tipo-oma-340-gr-3155048/p,3510982,4.771,7702747633550
546,Café JUAN VALDEZ Liofilizado descafeinado (95 gr),95 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-liofilizado-descafeinado-95-gr-408947/p,https://www.exito.com/cafe-liofilizado-descafeinado-95-gr-408947/p,591506,4.779,7707211631612
547,Chocolate LUKER tradicional sin azúcar (112 gr),112 gr,Chocolate,LUKER,https://www.exito.com/chocolate-luker-amargo-112-gr-3191912/p,https://www.exito.com/chocolate-luker-amargo-112-gr-3191912/p,3624961,1.331,7702088215507
548,Café LUKAFE tostado molido intenso (400 gr),400 gr,Café,LUKAFE,https://www.exito.com/cafe-tostado-molido-intenso-lukafe-400-gr-3156561/p,https://www.exito.com/cafe-tostado-molido-intenso-lukafe-400-gr-3156561/p,3516881,2.557,7702088207205
549,Café EKONO tostado y molido (125 gr),125 gr,Café,EKONO,https://www.exito.com/cafe-molido-ekono-125-gramo-958009/p,https://www.exito.com/cafe-molido-ekono-125-gramo-958009/p,958531,627,7701001086125
550,Café LA BASTILLA tostado y molido (250 gr),250 gr,Café,LA BASTILLA,https://www.exito.com/cafe-tostado-y-molido-suave-x-250-gr-50272/p,https://www.exito.com/cafe-tostado-y-molido-suave-x-250-gr-50272/p,13461,1.400,7703114201310
551,Chocolate CHOCOEXPRESS sin azúcar (200 gr),200 gr,Chocolate,CHOCOEXPRESS,https://www.exito.com/chocoexpress-sin-azucar-237755/p,https://www.exito.com/chocoexpress-sin-azucar-237755/p,593845,1.950,7702088165048
